#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,sway,"a Wayland Tiling window manager/compositor"
,xorg-xwayland,"xWayland support for sway."
,polkit,"manages user policies."
,foot,"a Wayland-native minimal terminal emulator with Sixel support (good for rmpc!)."
,brightnessctl,"a tool for adjusting screen brightness"
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is used to manage audio output and mixing."
,swaybg,"a wallpaper tool for Sway."
,mako,"a lightweight notification daemon."
,waybar,"status bar for KARBS."
,rofi-wayland,"an application launcher (Wayland patch)."
,xdg-desktop-portal,"allows programs like librewolf to access screensharing."
,xdg-desktop-portal-wlr,"xdg-desktop-portal for screensharing."
,xdg-desktop-portal-gtk,"Default xdg-desktop-portal for file picking."
,polkit-kde-agent,"is a graphical front-end for polkit."
,arch-wiki-lite,"a local copy of the Arch-wiki without HTML."
,neovim,"a tidier vim with some useful features"
,lf,"is an extensible terminal file manager."
,wl-clipboard,"commands to interact with Wayland's clipboard."
,wl-clipboard-persist,"preserves data in clipboard when after process that added the data closes."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,rmpc,"is an interactive client for mpd and supports album art."
,mpv,"is the patrician's choice video player."
,hunspell-en_US,"provides spell checking for librewolf and other programs."
,arch-wiki-docs,"local copy of the Arch-wiki as HTML. Use arch-wiki-lite to search through it."
,ntfs-3g,"allows accessing NTFS partitions."
,unzip,"unzips zips."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,simple-mtpfs,"enables the mounting of cell phones."
